tweet,label
is_analytic_no is_clout_no is_tone_yes posemo_yes insight_yes netspeak_yes nonflu_yes,LER
is_analytic_no is_clout_yes hear_yes affiliation_yes netspeak_yes,HER
is_analytic_no is_clout_yes cause_yes tentat_yes affiliation_yes power_yes netspeak_yes,HER
is_authentic_no see_yes netspeak_yes,HER
is_analytic_yes is_authentic_yes see_yes netspeak_yes,HER
is_analytic_yes is_clout_yes insight_yes affiliation_yes achieve_yes netspeak_yes,HER
is_analytic_no is_authentic_yes discrep_yes differ_yes affiliation_yes,HER
is_analytic_no is_clout_yes is_authentic_yes insight_yes certain_yes see_yes affiliation_yes,HER
is_analytic_no insight_yes cause_yes discrep_yes differ_yes affiliation_yes assent_yes,HER
is_analytic_no is_clout_yes insight_yes affiliation_yes,HER
is_analytic_no is_clout_no insight_yes discrep_yes differ_yes netspeak_yes,HER
is_analytic_no is_clout_no insight_yes discrep_yes tentat_yes differ_yes power_yes,HER
is_clout_yes is_authentic_yes discrep_yes tentat_yes see_yes affiliation_yes achieve_yes power_yes,HER
is_analytic_no is_clout_yes is_authentic_yes is_tone_yes posemo_yes insight_yes cause_yes tentat_yes certain_yes differ_yes affiliation_yes,HER
is_analytic_yes is_clout_no is_authentic_yes certain_yes differ_yes affiliation_yes achieve_yes,HER
is_analytic_no is_authentic_no is_tone_yes posemo_yes insight_yes cause_yes discrep_yes tentat_yes affiliation_yes,HER
is_analytic_no is_clout_yes is_authentic_yes insight_yes differ_yes see_yes affiliation_yes,HER
is_analytic_no discrep_yes certain_yes differ_yes affiliation_yes achieve_yes,HER
is_analytic_no is_clout_yes cause_yes certain_yes see_yes affiliation_yes assent_yes,HER
is_analytic_no is_clout_no is_authentic_yes insight_yes tentat_yes differ_yes affiliation_yes,HER
is_analytic_no is_authentic_yes insight_yes see_yes affiliation_yes achieve_yes netspeak_yes,HER
is_analytic_no is_clout_no is_authentic_yes tentat_yes differ_yes affiliation_yes achieve_yes,HER
is_analytic_no is_clout_yes is_authentic_no is_tone_yes posemo_yes cause_yes discrep_yes certain_yes differ_yes affiliation_yes achieve_yes reward_yes,HER
is_clout_yes is_authentic_yes insight_yes cause_yes tentat_yes affiliation_yes netspeak_yes,HER
is_authentic_yes is_tone_no negemo_yes sad_yes insight_yes netspeak_yes,HER
is_analytic_yes is_authentic_yes see_yes netspeak_yes,HER
is_tone_yes posemo_yes insight_yes certain_yes see_yes power_yes netspeak_yes,HER
insight_yes cause_yes tentat_yes see_yes netspeak_yes,HER
insight_yes cause_yes tentat_yes see_yes achieve_yes netspeak_yes,HER
is_authentic_no posemo_yes insight_yes see_yes affiliation_yes reward_yes netspeak_yes,HER
