HER (-5.0275080099861178, 'ibm')
HER (-4.5648321720670832, 'skittles')
HER (-3.9363809857121708, 'prada')
HER (-3.4068341215102662, 'nutella')
HER (-3.0993162830644523, 'chucktaylor')
HER (-2.9720591275172468, 'cognitiveera')
HER (-2.8744976294546194, 'ps4')
HER (-2.7254933977084779, 'runsimple')
HER (-2.6023078369195507, 'chuckii')
HER (-2.5511096972479415, 'siemens')
HER (-2.5061992158947088, 'itallstarts')
HER (-2.4365959846766532, 'introducing')
HER (-2.4123843218307601, 'retweet')
HER (-2.4020876689163377, 'monstergirls')
HER (-2.400524391219971, 'sap')
HER (-2.3221054470518698, 'worthsaying')
HER (-2.258627925895814, 'lvspring')
HER (-2.2568494275458764, 'lvfall')
HER (-2.2477110914978287, 'cognitive')
HER (-2.2411675395145556, 'visa')
HER (-2.2404811717814712, 'disney')
HER (-2.2130973572474821, 'oreo')
HER (-2.1824020384692742, '2015')
HER (-2.1774231266673758, 'watson')
HER (-2.1450551116343561, 'd23expo')
HER (-2.1406571796104963, 'pradass16')
HER (-2.0959675693235353, 'ikeahometour')
HER (-2.0762871407782004, 'ride')
HER (-2.0411346604484408, 'theatres')
HER (-2.017986351443918, 'uber')
HER (-2.0176842072639944, 'analytics')
HER (-2.0125585350278841, 'honda')
HER (-2.0058115634140132, 'lastpringle')
HER (-1.9883953378668084, 'bmw')
HER (-1.95742615456673, 'converse')
HER (-1.9452386499192098, 'oreosnackhacks')
HER (-1.9355758606194715, 'ingenuity')
HER (-1.9119361113174524, 'ibmwatson')
HER (-1.9000584692478122, 'ibmandtwitter')
HER (-1.8995349880237766, 'lvfw16')
HER (-1.8691933255790043, 'pampersholiday')
HER (-1.8668459823439578, 'lvcruise')
HER (-1.8247577064170382, 'didyouknow')
HER (-1.7885025510455408, 'playwithoreo')
HER (-1.7730659738482302, 'playstation')
HER (-1.7683888521910522, 'pringles')
HER (-1.7652627552344942, 'organized')
HER (-1.7498572998156205, 'lvss16')
HER (-1.7433094456889409, 'sb50')
HER (-1.7317091175499426, 'pictureoftheweek')
HER (-1.7149839267006703, 'cognitivecomputing')
HER (-1.7033966926690749, '2016')
HER (-1.6881595426722307, 'cookie')
HER (-1.6858135553065041, 'pamperscollegepride')
HER (-1.6805412627068002, 'bestwithinyourgrasp')
HER (-1.6798263636936419, 'scewc15')
HER (-1.6732884971137785, 'ibmer')
HER (-1.6683300145056987, 'connections')
HER (-1.6680493267192682, 'years')
HER (-1.6421973335770907, 'bathroom')
HER (-1.6298224475061227, 'rainbow')
HER (-1.6109394546536768, 'pampersrewards')
HER (-1.6004793279677896, 'snack')
HER (-1.5968868116354937, 'mbclassic')
HER (-1.5797935393595866, 'theforceawakens')
HER (-1.5780826119243301, 'uncharted')
HER (-1.5484167551161903, 'turtles')
HER (-1.5343183678207672, 'ibmthink')
HER (-1.5331367367113344, 'kindness')
HER (-1.5210888986973843, 'sesameplaceparty')
HER (-1.5169894509243638, 'pradafw16')
HER (-1.5141401247055959, 'twitter party')
HER (-1.5090967315954222, 'ibmstudios')
HER (-1.5053857630656651, 'billion')
HER (-1.5028764745131169, 'monstergirl')
HER (-1.4997060425501316, 'shave')
HER (-1.4939965107336093, 'kriswu')
HER (-1.4789554538599061, 'trucker')
HER (-1.4758610625258841, 'intelinmusic')
HER (-1.4732084504418073, 'halftime')
HER (-1.4708014864338135, 'bedroom')
HER (-1.4702581852880725, 'lvaw16')
HER (-1.4544363860972218, '100km')
HER (-1.453226015095737, 'celebratingmonogram')
HER (-1.4465326926240818, 'chanelhautecouture')
HER (-1.4313692214983658, 'monstergirlmonday')
HER (-1.4265796747509709, 'ibmers')
HER (-1.4251226574970852, 'ibmsports')
HER (-1.4221545938937101, 'little bit')
HER (-1.4204991493489247, 'ibmcloud')
HER (-1.4194785198682693, 'bts')
HER (-1.4108276517068385, 'women')
HER (-1.4106834232022065, 'surprise')
HER (-1.3883640668003017, 'sing')
HER (-1.3774853828959135, 'wind')
HER (-1.3758924186618542, 'monsterenergy')
HER (-1.3736150593733272, 'okay')
HER (-1.3727829053992888, 'chuck')
HER (-1.3668787340877422, 'chocolate')
HER (-1.3667184406752755, 'pizza')
